Идентификатор проблемы,Описание,Состояние,Серьезность,Баллы истории,Путь к проекту,Вид расположения,Путь,Линейная,Столбец,Идентификатор инцидента,Ссылка на справку,Имя сборки,Версия сборки,Открытый ключ сборки,Фрагмент
Project.0002,Необходимо изменить целевые платформы проекта,Active,Mandatory,1,AntennaLib\AntennaLib.csproj,File,AntennaLib\AntennaLib.csproj,,,,,,,,Текущая целевая платформа: net9.0 Рекомендуемая целевая платформа: net10.0
NuGet.0001,Пакет NuGet несовместим,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\ArrayFactor.csproj,,,OxyPlot.Wpf 2.2.0,,,,,"OxyPlot.Wpf, 2.2.0  Рекомендация:  OxyPlot.Wpf, 2.1.2"
Project.0002,Необходимо изменить целевые платформы проекта,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\ArrayFactor.csproj,,,,,,,,Текущая целевая платформа: net9.0-windows Рекомендуемая целевая платформа: net10.0-windows
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\obj\Debug\net9.0-windows\win-x64\GeneratedInternalTypeHelper.g.i.cs,19,76,M:System.Windows.Markup.InternalTypeHelper.#ctor,,,,,InternalTypeHelper
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\obj\Debug\net9.0-windows\win-x64\GeneratedInternalTypeHelper.g.i.cs,19,76,T:System.Windows.Markup.InternalTypeHelper,,,,,InternalTypeHelper
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\obj\Debug\net9.0-windows\win-x64\Service\Controls\SmithChart.g.i.cs,143,12,T:System.Windows.Controls.ItemsControl,,,,,this.ImagenGridLines = ((System.Windows.Controls.ItemsControl)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\obj\Debug\net9.0-windows\win-x64\Service\Controls\SmithChart.g.i.cs,140,12,T:System.Windows.Controls.ItemsControl,,,,,this.RealGridLines = ((System.Windows.Controls.ItemsControl)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\obj\Debug\net9.0-windows\win-x64\Service\Controls\SmithChart.g.i.cs,137,12,T:System.Windows.Shapes.Ellipse,,,,,this.Border = ((System.Windows.Shapes.Ellipse)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\obj\Debug\net9.0-windows\win-x64\Service\Controls\SmithChart.g.i.cs,134,12,T:System.Windows.Shapes.Line,,,,,this.VerticalAxeLine = ((System.Windows.Shapes.Line)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\obj\Debug\net9.0-windows\win-x64\Service\Controls\SmithChart.g.i.cs,131,12,T:System.Windows.Shapes.Line,,,,,this.HorizontalAxeLine = ((System.Windows.Shapes.Line)(target));
